Food,Serving,Calories
Quinoa,1 g (91 g),350 cal
Hot Dog,3 tsp (481 g),489 cal
Shrimp,3 slice (398 g),355 cal
Apple,2 cup (392 g),344 cal
Pasta,1 g (139 g),250 cal
Parsley,2 piece (109 g),338 cal
Honey,1 oz (343 g),60 cal
Hot Dog,2 oz (226 g),465 cal
Waffle,3 cup (210 g),224 cal
Apricot,2 slice (454 g),352 cal
Potato,3 g (256 g),417 cal
Bell Pepper,1 g (423 g),86 cal
Chocolate,1 g (159 g),47 cal
Apricot,1 g (370 g),373 cal
Garlic,1 g (231 g),384 cal
Butter,1 g (333 g),292 cal
Peach,1 cup (141 g),293 cal
Bell Pepper,2 slice (208 g),37 cal
Basil,1 cup (200 g),324 cal
Walnut,1 tsp (322 g),433 cal
Mango,3 slice (471 g),35 cal
Apricot,2 tsp (142 g),114 cal
Beef,1 piece (264 g),9 cal
Garlic,2 slice (410 g),288 cal
Grapes,3 oz (440 g),300 cal
Almond,3 cup (189 g),248 cal
Garlic,3 tbsp (215 g),496 cal
Lamb,2 oz (492 g),146 cal
Bell Pepper,3 g (229 g),256 cal
Corn,2 tbsp (149 g),54 cal
Blueberry,2 g (393 g),462 cal
French Fries,2 oz (127 g),65 cal
Celery,1 g (469 g),251 cal
Soy Milk,2 tsp (171 g),18 cal
Cookie,3 oz (75 g),171 cal
Cake,2 piece (163 g),226 cal
Ice Cream,3 cup (285 g),138 cal
Mozzarella,3 oz (66 g),307 cal
Walnut,2 oz (448 g),67 cal
Mushroom,2 tbsp (485 g),264 cal
Mango,2 oz (62 g),360 cal
Soy Milk,1 g (471 g),387 cal
Chicken Breast,1 cup (455 g),455 cal
Egg,2 slice (251 g),34 cal
Bell Pepper,1 cup (438 g),435 cal
Basil,1 cup (489 g),207 cal
Corn,1 tsp (200 g),256 cal
Fish Fillet,2 slice (434 g),350 cal
Mango,2 cup (483 g),339 cal
Ice Cream,2 slice (223 g),270 cal
Hot Dog,3 oz (225 g),268 cal
Watermelon,1 cup (109 g),54 cal
Lentils,1 tbsp (296 g),93 cal
Hot Dog,1 g (136 g),32 cal
Pork,1 tbsp (240 g),348 cal
Cherry,2 piece (310 g),429 cal
Hazelnut,2 tsp (385 g),369 cal
Plum,1 slice (460 g),148 cal
Yogurt,2 tbsp (491 g),280 cal
Lime,2 tbsp (68 g),401 cal
Kiwi,2 tbsp (83 g),391 cal
Strawberry,3 g (323 g),160 cal
Green Beans,3 oz (327 g),6 cal
Garlic,1 tbsp (386 g),291 cal
Peanut Butter,3 tbsp (220 g),370 cal
Mango,3 tbsp (231 g),230 cal
French Fries,3 oz (139 g),308 cal
Fig,2 tbsp (85 g),203 cal
Watermelon,1 cup (165 g),320 cal
Lobster,2 slice (58 g),497 cal
Blueberry,1 tbsp (476 g),493 cal
Dates,3 slice (318 g),97 cal
Crab,1 slice (228 g),205 cal
Pork,2 cup (465 g),133 cal
Zucchini,3 tbsp (203 g),365 cal
Strawberry,2 tbsp (484 g),196 cal
Shrimp,1 slice (444 g),433 cal
Hazelnut,1 slice (420 g),318 cal
Quinoa,1 g (288 g),296 cal
Basil,1 cup (486 g),488 cal
Cookie,3 oz (486 g),190 cal
Watermelon,1 piece (112 g),347 cal
Macadamia,1 oz (434 g),435 cal
Lemon,2 oz (313 g),205 cal
Pasta,1 slice (60 g),49 cal
Pineapple,2 tbsp (107 g),454 cal
Kiwi,1 tbsp (298 g),80 cal
Peanut Butter,2 tbsp (187 g),419 cal
Tomato,2 tbsp (460 g),49 cal
Cabbage,3 slice (108 g),5 cal
Chickpeas,2 cup (358 g),57 cal
Cereal,2 tsp (277 g),207 cal
Prawns,3 cup (489 g),208 cal
Cheese,3 cup (368 g),421 cal
Papaya,1 g (375 g),407 cal
Potato,1 slice (73 g),399 cal
Rice,1 tsp (195 g),6 cal
Cake,1 g (316 g),123 cal
Pineapple,2 g (113 g),401 cal
Honey,2 cup (371 g),141 cal
Salmon,1 tbsp (161 g),471 cal
Mushroom,1 tsp (405 g),273 cal
Cookie,2 tsp (282 g),362 cal
Macadamia,2 tsp (271 g),72 cal
French Fries,1 slice (121 g),140 cal
Beef,1 slice (84 g),50 cal
Celery,3 slice (313 g),426 cal
French Fries,3 cup (351 g),221 cal
Cake,3 g (470 g),156 cal
Almond Milk,3 piece (428 g),416 cal
Pasta,3 cup (113 g),216 cal
Coconut,1 piece (388 g),71 cal
Fig,1 slice (347 g),401 cal
Fish Fillet,3 g (442 g),387 cal
Dates,1 tsp (194 g),68 cal
Turkey,1 tsp (336 g),286 cal
Banana,2 oz (95 g),356 cal
Tuna,2 slice (289 g),139 cal
Prawns,1 tbsp (389 g),333 cal
Watermelon,3 slice (388 g),363 cal
Blueberry,2 cup (235 g),194 cal
Macadamia,2 cup (102 g),326 cal
Pear,1 tsp (67 g),307 cal
Green Beans,2 oz (423 g),366 cal
Cheese,1 cup (441 g),381 cal
Lamb,2 g (313 g),86 cal
Plum,3 g (188 g),69 cal
Baked Beans,2 cup (391 g),286 cal
Chocolate,3 piece (51 g),277 cal
Macadamia,3 tbsp (221 g),58 cal
Bacon,3 g (69 g),280 cal
Tomato,2 cup (72 g),170 cal
Chocolate,1 piece (489 g),203 cal
Cookie,1 oz (313 g),369 cal
Avocado,3 piece (74 g),308 cal
Tofu,2 oz (114 g),256 cal
Rice,2 oz (206 g),336 cal
Mango,1 tbsp (468 g),109 cal
Pizza,1 g (211 g),178 cal
Yogurt,2 tsp (230 g),145 cal
Mushroom,2 oz (328 g),158 cal
Chickpeas,3 piece (436 g),223 cal
Butter,1 cup (250 g),50 cal
Pasta,2 oz (87 g),317 cal
Macadamia,2 tsp (149 g),119 cal
Waffle,3 g (272 g),203 cal
Watermelon,2 piece (335 g),477 cal
Carrot,3 cup (403 g),306 cal
Sausage,1 piece (494 g),219 cal
Blackberry,3 piece (459 g),478 cal
Almond Milk,3 g (488 g),147 cal
Quinoa,1 piece (344 g),483 cal
Bread,3 oz (59 g),205 cal
Almond,3 oz (194 g),362 cal
Pork,2 tbsp (339 g),395 cal
Potato,1 oz (251 g),290 cal
Mozzarella,1 g (476 g),17 cal
Celery,1 g (141 g),53 cal
Peas,2 tbsp (132 g),100 cal
Parsley,2 piece (67 g),77 cal
Cabbage,2 oz (178 g),29 cal
Dates,3 cup (90 g),341 cal
Egg,3 tsp (447 g),154 cal
Ice Cream,1 g (166 g),18 cal
Feta Cheese,3 tsp (432 g),444 cal
Tuna,2 g (348 g),255 cal
Grapes,3 slice (283 g),311 cal
Carrot,2 slice (195 g),491 cal
Hot Dog,3 cup (244 g),63 cal
Hot Dog,2 cup (299 g),399 cal
Lettuce,3 piece (110 g),105 cal
Zucchini,3 tsp (71 g),482 cal
Tofu,2 tsp (305 g),78 cal
Cucumber,1 oz (173 g),271 cal
Olive Oil,2 slice (67 g),203 cal
Honey,2 cup (306 g),305 cal
Orange,1 slice (418 g),482 cal
Chickpeas,2 slice (362 g),297 cal
Cherry,2 oz (70 g),138 cal
Parsley,3 cup (147 g),445 cal
Ice Cream,2 piece (318 g),218 cal
Sausage,1 tbsp (235 g),285 cal
Shrimp,3 g (495 g),330 cal
Carrot,3 tbsp (163 g),69 cal
Lentils,3 g (223 g),259 cal
Macadamia,3 tbsp (312 g),52 cal
Chickpeas,3 tbsp (127 g),111 cal
Rice,1 cup (419 g),304 cal
Peanut Butter,2 oz (210 g),165 cal
Tuna,1 cup (442 g),350 cal
Duck,2 cup (166 g),67 cal
Tofu,2 oz (276 g),95 cal
Bagel,3 piece (374 g),167 cal
Lettuce,2 tbsp (488 g),217 cal
Lime,3 oz (412 g),206 cal
Feta Cheese,3 piece (189 g),431 cal
Salmon,1 slice (269 g),108 cal
Pasta,1 oz (495 g),83 cal
Bread,3 piece (109 g),107 cal
Tomato,1 cup (303 g),475 cal
Cheese,1 cup (231 g),76 cal
Almond,3 slice (66 g),196 cal
Cashew,3 piece (357 g),434 cal
Blackberry,2 slice (428 g),470 cal
Pineapple,1 cup (294 g),271 cal
Pasta,1 tsp (399 g),438 cal
Brownie,2 piece (242 g),257 cal
Pork,2 slice (65 g),190 cal
Strawberry,1 piece (80 g),74 cal
Tuna,3 tbsp (77 g),57 cal
Mozzarella,2 oz (111 g),218 cal
Lettuce,2 tbsp (298 g),485 cal
Pasta,2 tsp (340 g),248 cal
Cereal,2 tbsp (250 g),164 cal
Chicken Breast,1 oz (138 g),10 cal
Pancake,2 oz (67 g),455 cal
Pork,1 slice (372 g),223 cal
Burger,3 g (386 g),494 cal
Popcorn,1 cup (176 g),247 cal
Pear,1 tbsp (215 g),396 cal
Watermelon,1 g (380 g),28 cal
Shrimp,3 oz (487 g),384 cal
Prawns,2 cup (147 g),65 cal
Rice,2 cup (71 g),66 cal
Butter,3 g (312 g),369 cal
Waffle,1 tbsp (399 g),195 cal
Tomato,1 oz (52 g),330 cal
Tuna,2 tsp (91 g),49 cal
Butter,2 g (457 g),274 cal
Feta Cheese,3 slice (90 g),222 cal
Apricot,3 tbsp (203 g),369 cal
Cucumber,2 g (361 g),414 cal
Celery,1 cup (437 g),241 cal
Tomato,3 g (72 g),231 cal
Tuna,2 oz (499 g),388 cal
Orange,2 oz (452 g),271 cal
Apricot,1 g (202 g),493 cal
Steak,3 oz (452 g),283 cal
Mozzarella,2 slice (139 g),106 cal
Sausage,1 oz (226 g),380 cal
Waffle,1 cup (210 g),320 cal
Milk,2 tbsp (209 g),322 cal
Macadamia,1 tsp (332 g),276 cal
Garlic,3 piece (432 g),296 cal
Avocado,2 g (432 g),174 cal
Cucumber,2 piece (337 g),117 cal
Bacon,2 tsp (317 g),49 cal
Kiwi,3 slice (185 g),24 cal
Raspberry,1 piece (163 g),373 cal
Mozzarella,2 oz (361 g),438 cal
Chicken Breast,1 oz (115 g),51 cal
Chicken Breast,1 cup (409 g),8 cal
Blackberry,3 slice (114 g),420 cal
Pasta,2 piece (128 g),31 cal
Corn,1 oz (438 g),339 cal
Parsley,2 piece (324 g),10 cal
Apricot,3 tsp (401 g),288 cal
Rice,3 cup (231 g),251 cal
Coconut,1 g (410 g),294 cal
Cake,1 oz (312 g),339 cal
Spinach,1 tsp (432 g),74 cal
Bread,1 g (71 g),18 cal
Cookie,1 oz (259 g),78 cal
Milk,1 tsp (98 g),500 cal
Tofu,2 tbsp (251 g),448 cal
Pineapple,2 slice (61 g),200 cal
Butter,1 tbsp (451 g),164 cal
Butter,1 tbsp (477 g),128 cal
Hot Dog,2 tbsp (166 g),476 cal
Ham,2 tbsp (125 g),128 cal
Chicken Breast,2 oz (153 g),339 cal
Shrimp,1 slice (470 g),196 cal
Peanut Butter,3 g (480 g),379 cal
Pasta,2 g (197 g),355 cal
Walnut,2 oz (432 g),412 cal
Chickpeas,2 slice (95 g),93 cal
Kiwi,3 tsp (182 g),407 cal
Raspberry,3 g (264 g),198 cal
Lettuce,2 g (367 g),320 cal
Lime,2 tsp (165 g),371 cal
Ice Cream,3 tbsp (485 g),328 cal
Kale,1 tsp (226 g),456 cal
Zucchini,3 piece (212 g),358 cal
Peach,2 tsp (205 g),481 cal
Feta Cheese,3 g (424 g),274 cal
Strawberry,1 slice (186 g),229 cal
Ham,1 cup (450 g),381 cal
Lettuce,3 slice (135 g),473 cal
Chocolate,2 tbsp (399 g),372 cal
Bacon,3 cup (417 g),426 cal
Bread,3 g (464 g),55 cal
Honey,1 g (91 g),88 cal
Steak,1 tbsp (87 g),422 cal
Steak,2 piece (375 g),319 cal
Shrimp,2 cup (489 g),191 cal
Sausage,3 slice (60 g),377 cal
Plum,2 tsp (380 g),53 cal
Soy Milk,3 tsp (381 g),43 cal
Carrot,1 oz (212 g),24 cal
Pasta,1 oz (168 g),344 cal
